Open,High,Low,Close,Volume
7986.600098,8057.700195,7944.850098,8013.899902,133000
8004.200195,8061.850098,7952.350098,8047.299805,124000
8084.200195,8136.850098,8048.950195,8091.549805,152500
8113.700195,8186.899902,8101.799805,8174.600098,144800
8201.150391,8250.799805,8195.650391,8224.950195,147100
8259.299805,8369.450195,8257.400391,8353.099609,122700
8377.450195,8398.450195,8334.950195,8381.549805,131700
8399.400391,8421.349609,8338.900391,8360.849609,130100
8336.25,8423.150391,8329.5,8398,201200
8393.950195,8408.549805,8339.700195,8381.099609,110600
8247.049805,8329.450195,8195.650391,8318.400391,132000
8316.349609,8378,8298.950195,8368.5,158500
8376.25,8481.599609,8370.150391,8453.049805,131800
8471.950195,8479.25,8433.200195,8444.900391,112000
8440.099609,8497.75,8424.150391,8484.900391,88400
8386.150391,8533.150391,8386.150391,8522.150391,101500
8525.5,8561.349609,8483.849609,8510.799805,122200
8439.200195,8457.5,8341.400391,8363.049805,188100
8364.849609,8400.299805,8323,8328.549805,131300
8365.700195,8377.099609,8315.400391,8360.549805,154100
8397.25,8471.650391,8355.400391,8459.650391,117800
8470.599609,8480.25,8424.099609,8454.099609,101700
8463.400391,8531.400391,8462.950195,8523.799805,105500
8546.150391,8616.099609,8542.900391,8608.049805,116000
8623.650391,8642.950195,8593.150391,8609.849609,105000
8623.900391,8624.099609,8559,8603.450195,90600
8601.5,8646.75,8517.900391,8529.450195,164100
8512.25,8643.900391,8498.650391,8633.5,136800
8643.950195,8654.75,8573.799805,8589.799805,132900
8588.150391,8589.150391,8513.5,8521.549805,127400
8492.099609,8492.200195,8351.549805,8361,136600
8371.099609,8397.400391,8321.75,8337,174600
8365.599609,8381.5,8338.450195,8375.049805,141000
8417,8458.900391,8408.299805,8421.799805,215200
8456.099609,8548.950195,8448,8532.849609,203300
8510.650391,8563.950195,8508.099609,8543.049805,156700
8564.099609,8565.150391,8448.25,8516.900391,187400
8547.450195,8591.849609,8545.849609,8567.950195,132800
8585.799805,8606.299805,8551.5,8588.650391,134900
8580.799805,8595.950195,8552.700195,8564.599609,143700
8577,8621.549805,8497.799805,8525.599609,123400
8548.450195,8556.25,8441.299805,8462.349609,154400
8445.700195,8446.950195,8337.950195,8349.450195,190000
8384.450195,8429.5,8339.75,8355.849609,189200
8402.349609,8530.099609,8381.200195,8518.549805,155900
8530.5,8530.599609,8428.049805,8477.299805,174700
8505.849609,8525.75,8433.599609,8466.549805,153300
8468.049805,8520.450195,8425.950195,8495.150391,130500
8471.049805,8501.349609,8359.75,8372.75,184100
8305.400391,8322.200195,8225.049805,8299.950195,201300
8055.950195,8060.049805,7769.399902,7809,312400
7895.399902,7925.399902,7667.25,7880.700195,299100
